title,latitude,longitude,page,url
Basin Butte,44.33853,-114.97766,basinbutte.html,http://www.firelookout.com/id/basinbutte.html
Bishop Mountain,44.33341,-111.55345,bishopMountain.html,http://www.firelookout.com/id/bishopMountain.html
Blue Nose,45.47266,-114.35851,bluenose.html,http://www.firelookout.com/id/bluenose.html
Cottonwood Point,44.62304,-114.68642,cottonwood.html,http://www.firelookout.com/id/cottonwood.html
Custer,44.34929,-114.62409,custer.html,http://www.firelookout.com/id/custer.html
Danskin Peak,43.41321,-115.65884,danskin.html,http://www.firelookout.com/id/danskin.html
Deadwood,44.1254,-115.70409,deadwood.html,http://www.firelookout.com/id/deadwood.html
Duck Creek Point,44.91034,-114.49733,duckcreekpt.html,http://www.firelookout.com/id/duckcreekpt.html
Granite Mountain,45.54999,-113.98068,granitemtn319.html,http://www.firelookout.com/id/granitemtn319.html
Mt. Greylock,44.41967,-114.69748,greylock.html,http://www.firelookout.com/id/greylock.html
Mt. Harrison,42.30891,-113.65884,harrison.html,http://www.firelookout.com/id/harrison.html
Hawley Mountain,43.99239,-116.03041,hawley.html,http://www.firelookout.com/id/hawley.html
Horton Peak,43.96574,-114.74847,hortonpeak.html,http://www.firelookout.com/id/hortonpeak.html
Iron Mountain,43.53827,-115.04492,ironMountain.html,http://www.firelookout.com/id/ironMountain.html
Jackson Peak,44.077925,-115.41386,jacksonpeak.html,http://www.firelookout.com/id/jacksonpeak.html
Jureano Mountain,45.2039,-114.24292,jureano.html,http://www.firelookout.com/id/jureano.html
Long Tom,45.34235,-114.57515,longtom.html,http://www.firelookout.com/id/longtom.html
Lookout Mountain,44.19263,-114.75892,lookoutmtn319a.html,http://www.firelookout.com/id/lookoutmtn319a.html
Middle Fork Peak,44.96211,-114.6554,middleforkpeak.html,http://www.firelookout.com/id/middleforkpeak.html
Notch Butte,42.88492,-114.41818,notchbutte.html,http://www.firelookout.com/id/notchbutte.html
Oreana,45.47909,-114.47196,oreana.html,http://www.firelookout.com/id/oreana.html
Pinyon Peak,44.56968,-114.91663,pinyonpeak.html,http://www.firelookout.com/id/pinyonpeak.html
Ruffneck Peak,44.48166,-115.15512,ruffneck.html,http://www.firelookout.com/id/ruffneck.html
Scott Mountain,44.18137,-115.78874,scottMountain.html,http://www.firelookout.com/id/scottMountain.html
Sedgewick Peak,42.51574,-111.92338,sedgewick.html,http://www.firelookout.com/id/sedgewick.html
Shafer Butte,43.77149,-116.08848,shaferbutte.html,http://www.firelookout.com/id/shaferbutte.html
Sheephorn Mountain,44.8825167,-114.0912,sheephorn.html,http://www.firelookout.com/id/sheephorn.html
Sleeping Deer,44.76719,-114.69108,sleepingdeer.html,http://www.firelookout.com/id/sleepingdeer.html
Sliderock Ridge,44.6586,-114.95296,sliderockridge.html,http://www.firelookout.com/id/sliderockridge.html
